Título;Status;Descrição;Empreendimento;Etiqueta;Responsável;Fase;Tipo;Local;Prazo;Prioridade;Última alteração;Primeira alteração
4473 Incoerência na fachada;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;FACHADA LESTE;18-02-2022;NORMAL;Resolved by Max Derby 2 16-05-2022 19:40;Created by Max Derby 2 18-02-2022 15:10
4473 Incoerência na fachada;Active;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;SUGESTÃO;FACHADA NORTE;18-02-2022;NORMAL;Edited by Max Derby 2 20-05-2022 07:09;Created by Max Derby 2 18-02-2022 15:23
6638 Inclinações de rampa;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;ÁREA COMUM;18-02-2022;NORMAL;Resolved by Max Derby 2 16-05-2022 20:05;Created by Max Derby 2 18-02-2022 15:55
8016 Incoerência de cotas;Active;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;DIVERGÊNCIA DE INFORMAÇÕES;PAVIMENTO ÁTICO;18-02-2022;SIMPLES;Edited by Max Derby 2 23-05-2022 12:58;Created by Max Derby 2 18-02-2022 16:04
Ventilação inadequada;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;ÁREA COMUM;18-02-2022;NORMAL;Resolved by Max Derby 2 16-05-2022 20:09;Created by Max Derby 2 18-02-2022 16:15
Falta de detalhamento da piscina;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;PAVIMENTO COBERTURA;18-02-2022;NORMAL;Resolved by Max Derby 2 19-05-2022 15:39;Created by Max Derby 2 18-02-2022 16:39
5867 Detalhamento do quadro de esquadrias;Active;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;AUSÊNCIA DE INFORMAÇÃO;PAVIMENTO TIPO;18-02-2022;SIMPLES;Edited by Max Derby 2 23-05-2022 12:58;Created by Max Derby 2 18-02-2022 16:50
Ausência de proteção lateral;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;ÁREA COMUM;18-02-2022;NORMAL;Resolved by Max Derby 2 16-05-2022 20:14;Created by Max Derby 2 18-02-2022 17:02
Conflito escada e laje prevista;Active;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;PAVIMENTO TIPO;18-02-2022;NORMAL;Edited by Max Derby 2 09-05-2022 09:24;Created by Max Derby 2 18-02-2022 17:11
3012 Ausência de nível;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;SUGESTÃO;ÁREA COMUM;04-03-2022;NORMAL;Resolved by Max Derby 2 16-05-2022 20:57;Created by Max Derby 2 04-03-2022 09:17
Área de manobra insuficiente;Resolved;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;INCONSISTÊNCIA TÉCNICA;PAVIMENTO COBERTURA;04-03-2022;NORMAL;Resolved by Max Derby 2 19-05-2022 15:45;Created by Max Derby 2 04-03-2022 10:54
Guia de balizamento;Active;-;Max Derby 2;ARQUITETURA;Thais Oliveira;CONSTRUÇÃO VIRTUAL 1;SUGESTÃO;ÁREA COMUM;04-03-2022;SIMPLES;Edited by Max Derby 2 09-05-2022 09:24;Created by Max Derby 2 04-03-2022 10:59
