Título;Status;Descrição;Empreendimento;Etiqueta;Responsável;Fase;Tipo;Local;Prazo;Prioridade;Última alteração;Primeira alteração
7373-Detalhe construtivo;Active;-;MORATA RESIDENCE;Arquitetura;Thais Oliveira;Construção  virtual 01;Ausência;Piscina;-;Normal;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 05-04-2022 23:24
7895-Esquadria;Closed;-;MORATA RESIDENCE;Arquitetura;Thais Oliveira;Construção  virtual 01;Ausência;Pavimento Tipo;-;Normal;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 05-04-2022 23:24
7895-Esquadria;Closed;-;MORATA RESIDENCE;Arquitetura;Thais Oliveira;Construção  virtual 01;Ausência;Geral;-;Normal;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 05-04-2022 23:36
2584-Concepção de projeto;Closed;-;MORATA RESIDENCE;Arquitetura;Thais Oliveira;Construção  virtual 01;Ausência;Pavimento Tipo;-;Crítica;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 05-04-2022 23:36
8899-Elevador;Active;-;MORATA RESIDENCE;Arquitetura;Thais Oliveira;Construção  virtual 01;Inconsistência  Técnica;Pavimento Tipo;-;Crítica;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 05-04-2022 23:54
8899-Elevador;Active;-;MORATA RESIDENCE;Arquitetura;Thais Oliveira;Construção  virtual 01;Sugestão;Geral;-;Crítica;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 06-04-2022 00:14
9023-Reservatório superior e quadro de esquadrias;Active;Alterações solicitadas;MORATA RESIDENCE;Architecture;Thais Oliveira;Construção  virtual 01;Otimização;Pavimento Ático;-;Crítica;Edited by Thais Oliveira 02-05-2022 17:32;Created by Morata Residence 20-04-2022 17:58
3088-Escada;Active;-;MORATA RESIDENCE;Architecture;Thais Oliveira;Construção  virtual 01;Inconsistência  Técnica;Área comum;-;Crítica;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 20-04-2022 18:06
6156-Casa de Gás;Active;-;MORATA RESIDENCE;Arquitetura, Incêndio;Thais Oliveira;Construção  virtual 01;Inconsistência  Técnica;Casa de lixo e gás;-;Normal;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 20-04-2022 18:10
8899-Elevador;Active;-;MORATA RESIDENCE;Architecture;Thais Oliveira;Construção  virtual 01;Sugestão;Área comum;-;Crítica;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 20-04-2022 18:13
6588-Nível;Active;-;MORATA RESIDENCE;Arquitetura;Thais Oliveira;Construção  virtual 01;Falha de  representação;Cortes;-;Normal;Edited by Morata Residence 22-04-2022 12:07;Created by Morata Residence 22-04-2022 12:07
