Título;Status;Descrição;Empreendimento;Etiqueta;Responsável;Fase;Tipo;Local;Prazo;Prioridade;Última alteração;Primeira alteração
9604-Shaft;Closed;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Inconsistência Técnica;Pavimento Tipo;-;Normal;Closed by noemia paraiso 25-05-2022 17:14;Edited by noemia paraiso 05-04-2022 22:10
3088-Escada;Closed;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Inconsistência Técnica;Cortes;-;Normal;Closed by noemia paraiso 25-05-2022 17:15;Created by noemia paraiso 05-04-2022 22:17
4739-Unidade condensadora;Closed;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Sugestão;Pavimento Tipo;-;Simples;Closed by noemia paraiso 06-04-2022 22:45;Created by noemia paraiso 05-04-2022 22:22
8899-Elevador;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Inconsistência Técnica;Cortes;-;Crítica;Edited by noemia paraiso 19-05-2022 11:10;Created by noemia paraiso 05-04-2022 22:27
6588-Nível;Closed;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Falha de representação;Piscina;-;Simples;Closed by noemia paraiso 25-05-2022 17:15;Created by noemia paraiso 05-04-2022 22:34
4097-Informação do Projeto;Closed;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Falha de representação;Geral;-;Simples;Closed by noemia paraiso 25-05-2022 17:16;Created by noemia paraiso 05-04-2022 22:39
3899-Revestimento;Closed;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Sugestão;Pavimento Tipo;-;Normal;Closed by noemia paraiso 25-05-2022 17:25;Created by noemia paraiso 06-04-2022 20:40
4739-Unidade condensadora;Active;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Falha de representação;Pavimento Tipo;-;Normal;Edited by noemia paraiso 19-05-2022 09:40;Created by noemia paraiso 07-04-2022 19:56
7895-Esquadria;Closed;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Falha de representação;Geral;-;Crítica;Closed by noemia paraiso 25-05-2022 17:16;Created by noemia paraiso 07-04-2022 20:39
Divergência entre plantas;Closed;-;Noêmia Paraíso;Arquitetura;noemia paraiso;Construção virtual 01;Falha de representação;Cortes;-;Normal;Closed by noemia paraiso 25-05-2022 17:17;Created by noemia paraiso 07-04-2022 20:39
