Título;Status;Descrição;Empreendimento;Etiqueta;Responsável;Fase;Tipo;Local;Prazo;Prioridade;Última alteração;Primeira alteração
Análise de prancha do pavimento Semienterrado;Fechada;Geometria da escada;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Semienterrado;07-02-2022;NORMAL;Editado por Oscar Freire 21-03-2022 15:20;Editado por Oscar Freire 08-02-2022 01:34
CV01-TIPO-ARQxINC;Fechada;Espaço mínimo na antecâmera;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;07-02-2022;NORMAL;Editado por Oscar Freire 21-03-2022 15:20;Criado por Oscar Freire 08-02-2022 01:43
Análise de prancha do pavimento tipo;Fechada;Conflito entre shaft e capitéis;Oscar Freire;Arquitetura, Estrutura;Poligonus Arquitetura;Construção virtual 01;Conflito;Pavimento Tipo;07-02-2022;CRÍTICO;Fechado por Oscar Freire 06-05-2022 11:55;Editado por Oscar Freire 08-02-2022 01:43
Análise de prancha do pavimento tipo;Fechada;Lâmina de arquitetura e estrutura;Oscar Freire;Arquitetura, Estrutura;Oscar Freire;Construção virtual 01;Inconsistência Técnica;Pavimento Tipo;07-02-2022;NORMAL;Fechado por Oscar Freire 06-04-2022 10:51;Criado por Oscar Freire 08-02-2022 01:43
Análise de prancha do corte AA;Fechada;Espaço para equipamentos mecânicos do elevador;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Cortes;07-02-2022;CRÍTICO;Fechado por Oscar Freire 06-04-2022 08:03;Editado por Oscar Freire 08-02-2022 01:44
CV01-TIPO-ARQ;Fechada;Níveis entre área seca e molhada em conflito;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;08-02-2022;SIMPLES;Editado por Oscar Freire 21-03-2022 15:20;Criado por Oscar Freire 09-02-2022 00:25
Análise da fachada leste;Fechada;Conflito entre dimensões em pranchas diferentes;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;FACHADA LESTE;08-02-2022;CRÍTICO;Editado por Oscar Freire 21-03-2022 15:20;Editado por Oscar Freire 09-02-2022 00:25
Análise da fachada sul;Fechada;Conflito entre dimensões em pranchas diferentes;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;FACHADA SUL;08-02-2022;CRÍTICO;Editado por Oscar Freire 21-03-2022 15:20;Editado por Oscar Freire 09-02-2022 00:25
Análise da prancha do semienterrado;Fechada;Falta de guarda corpo;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Área comum;08-02-2022;SIMPLES;Editado por Oscar Freire 21-03-2022 15:20;Criado por Oscar Freire 09-02-2022 00:25
Análise da prancha do semienterrado;Fechada;Falta de exaustão em banheiros;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;Pavimento Semienterrado;08-02-2022;NORMAL;Editado por Oscar Freire 21-03-2022 15:20;Editado por Oscar Freire 09-02-2022 00:26
Análise da fachada leste;Ativa;Conflito entre representações;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Inconsistência Técnica;FACHADA LESTE;08-02-2022;CRÍTICO;Editado por Poligonus Arquitetura 11-05-2022 12:57;Editado por Oscar Freire 09-02-2022 00:26
CV01-TIPO-ARQ;Fechada;Descontinuidade na fachada;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;08-02-2022;CRÍTICO;Editado por Oscar Freire 21-03-2022 15:20;Criado por Oscar Freire 09-02-2022 00:26
Análise técnica de incêndio;Fechada;Necessidade das antecâmeras;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Pavimento Tipo;08-02-2022;NORMAL;Fechado por Oscar Freire 06-04-2022 10:51;Editado por Oscar Freire 09-02-2022 00:26
Análise da fachada norte;Fechada;Conflito de representações entre fachada e quadro de esquadrias;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;FACHADA NORTE;08-02-2022;CRÍTICO;Fechado por Oscar Freire 06-04-2022 12:14;Editado por Oscar Freire 09-02-2022 00:49
CV01-GAS-ARQ;Fechada;Casa de gás inacessível;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Ausência;Área comum;08-02-2022;CRÍTICO;Editado por Oscar Freire 21-03-2022 15:20;Criado por Oscar Freire 09-02-2022 00:50
CV01-TIPO-ARQ;Fechada;Dimensões da antecâmera;Oscar Freire;-;Poligonus Arquitetura;Construção virtual 01;Ausência;Pavimento Tipo;08-02-2022;NORMAL;Editado por Oscar Freire 21-03-2022 15:20;Criado por Oscar Freire 09-02-2022 00:50
Análise da escada;Fechada;Dimensões da escada;Oscar Freire;Arquitetura;Poligonus Arquitetura;Construção virtual 01;Falha de representação;Cortes;08-02-2022;CRÍTICO;Fechado por Oscar Freire 06-05-2022 11:55;Editado por Oscar Freire 09-02-2022 00:50
